Date,Symbol,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
30-01-2018,TCS,3198.85,,,3143.7,3152.15,3152.85,3166.46,787379,,,384193,0.4879
31-01-2018,TCS,3152.85,3137,3150,3098.6,3111.15,,3119.14,1521607,4.74611E+14,,978756,0.6432
01-02-2018,TCS,3112.35,,3190,3088.8,3150,3138.6,3146.24,1200315,,66084,310672,
02-02-2018,TCS,,3120,3190,3103.45,,3153.65,3167.25,1228245,,,586030,0.4771
,TCS,3153.65,3110,3188,3076.85,3110,3103.2,3118.75,1378871,,75866,655249,0.4752
06-02-2018,TCS,3103.2,3010,3077.15,2985,3000,2997.25,3020.91,1328653,4.01374E+14,,728147,0.548
07-02-2018,TCS,2997.25,3027,3031,2947.45,,2955.05,2975.26,1090162,3.24351E+14,55520,506385,0.4645
08-02-2018,TCS,2955.05,,3027.6,,2966.2,2974.2,3000.15,1377502,,63513,601956,0.437
09-02-2018,TCS,2974.2,2950,2994,2896.65,2978.3,2971.7,2940.4,1051229,3.09104E+14,71919,421771,
12-02-2018,TCS,2971.7,2978.3,3023.35,2955.55,2960.15,2967.3,2981.33,987281,2.94341E+14,49385,512025,
14-02-2018,TCS,2967.3,2970,,2892.5,2900,2911.8,,1423766,4.18537E+14,81932,880898,0.6187
15-02-2018,TCS,,2931.95,2943,2905.1,2922,2925.85,,1232618,3.60595E+14,42920,702569,0.57
16-02-2018,TCS,2925.85,2923,2999.6,2923,2931,2933.05,2965.52,1257878,,52987,425282,0.3381
19-02-2018,TCS,2933.05,,2953.3,2895.2,2923.65,2923.6,2928.1,784112,,37241,332759,0.4244
20-02-2018,TCS,,2928,,2927.9,2943,2944.75,2959.27,944534,2.79513E+14,60862,401169,0.4247
21-02-2018,TCS,2944.75,2974,3062.6,2960.05,3042.35,3042.3,3016.25,1544614,4.65894E+14,96721,673804,0.4362
22-02-2018,TCS,3042.3,3052,3079,3022.5,3040.05,3050.2,3047.84,1731505,5.27734E+14,83526,796578,0.46
